"county","state","party","procent_wykształcenie_wyższe","liczba_gł_republikanie","liczba_gł_demokraci"
Columbus,North Carolina,Democrat,"10 - 15 %",2841964,1491324
Oglala Lakota,South Dakota,Democrat,"10 - 15 %",2841964,1491324
Clark,Wisconsin,Republican,"10 - 15 %",2841964,1491324
Kenedy,Texas,Democrat,"10 - 15 %",2841964,1491324
Irwin,Georgia,Republican,"10 - 15 %",2841964,1491324
Schoolcraft,Michigan,Democrat,"10 - 15 %",2841964,1491324
Linn,Missouri,Republican,"10 - 15 %",2841964,1491324
Wayne,West Virginia,Republican,"10 - 15 %",2841964,1491324
Clarke,Mississippi,Republican,"10 - 15 %",2841964,1491324
Scott,Tennessee,Republican,"10 - 15 %",2841964,1491324
Hidalgo,New Mexico,Democrat,"10 - 15 %",2841964,1491324
Lyon,Kentucky,Republican,"10 - 15 %",2841964,1491324
Fountain,Indiana,Republican,"10 - 15 %",2841964,1491324
Maverick,Texas,Republican,"10 - 15 %",2841964,1491324
Hill,Texas,Democrat,"10 - 15 %",2841964,1491324
Bollinger,Missouri,Republican,"10 - 15 %",2841964,1491324
Lawrence,Ohio,Democrat,"10 - 15 %",2841964,1491324
St. James,Louisiana,Republican,"10 - 15 %",2841964,1491324
Washington,Indiana,Republican,"10 - 15 %",2841964,1491324
Patrick,Virginia,Republican,"10 - 15 %",2841964,1491324
Iosco,Michigan,Democrat,"10 - 15 %",2841964,1491324
Lamar,Georgia,Republican,"10 - 15 %",2841964,1491324
Clarke,Iowa,Democrat,"10 - 15 %",2841964,1491324
Shelby,Indiana,Republican,"10 - 15 %",2841964,1491324
Jasper,Texas,Republican,"10 - 15 %",2841964,1491324
Putnam,Illinois,Democrat,"10 - 15 %",2841964,1491324
Catahoula,Louisiana,Republican,"10 - 15 %",2841964,1491324
LaRue,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Kemper,Mississippi,Democrat,"10 - 15 %",2841964,1491324
Conway,Arkansas,Republican,"10 - 15 %",2841964,1491324
Fulton,Pennsylvania,Democrat,"10 - 15 %",2841964,1491324
Pointe Coupee,Louisiana,Republican,"10 - 15 %",2841964,1491324
Lawrence,Kentucky,Republican,"10 - 15 %",2841964,1491324
Woodruff,Arkansas,Republican,"10 - 15 %",2841964,1491324
Dunklin,Missouri,Democrat,"10 - 15 %",2841964,1491324
Miller,Arkansas,Democrat,"10 - 15 %",2841964,1491324
Florence,Wisconsin,Republican,"10 - 15 %",2841964,1491324
Hocking,Ohio,Republican,"10 - 15 %",2841964,1491324
Pike,Indiana,Republican,"10 - 15 %",2841964,1491324
Wilkes,Georgia,Democrat,"10 - 15 %",2841964,1491324
Menifee,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Cumberland,Virginia,Republican,"10 - 15 %",2841964,1491324
Ray,Missouri,Democrat,"10 - 15 %",2841964,1491324
Johnson,Georgia,Democrat,"10 - 15 %",2841964,1491324
Robeson,North Carolina,Republican,"10 - 15 %",2841964,1491324
Belmont,Ohio,Democrat,"10 - 15 %",2841964,1491324
Fayette,Pennsylvania,Democrat,"10 - 15 %",2841964,1491324
Bland,Virginia,Democrat,"10 - 15 %",2841964,1491324
Ware,Georgia,Democrat,"10 - 15 %",2841964,1491324
Parke,Indiana,Democrat,"10 - 15 %",2841964,1491324
Decatur,Indiana,Republican,"10 - 15 %",2841964,1491324
Independence,Arkansas,Democrat,"10 - 15 %",2841964,1491324
Rains,Texas,Republican,"10 - 15 %",2841964,1491324
Martin,Texas,Republican,"10 - 15 %",2841964,1491324
Jay,Indiana,Republican,"10 - 15 %",2841964,1491324
Martin,Indiana,Democrat,"10 - 15 %",2841964,1491324
Knox,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Crosby,Texas,Democrat,"10 - 15 %",2841964,1491324
Unicoi,Tennessee,Republican,"10 - 15 %",2841964,1491324
Geneva,Alabama,Republican,"10 - 15 %",2841964,1491324
Fayette,West Virginia,Republican,"10 - 15 %",2841964,1491324
Smith,Tennessee,Democrat,"10 - 15 %",2841964,1491324
Titus,Texas,Republican,"10 - 15 %",2841964,1491324
Hitchcock,Nebraska,Republican,"10 - 15 %",2841964,1491324
Love,Oklahoma,Republican,"10 - 15 %",2841964,1491324
Chambers,Alabama,Democrat,"10 - 15 %",2841964,1491324
Knox,Texas,Democrat,"10 - 15 %",2841964,1491324
Crawford,Georgia,Democrat,"10 - 15 %",2841964,1491324
Baraga,Michigan,Democrat,"10 - 15 %",2841964,1491324
Cook,Georgia,Republican,"10 - 15 %",2841964,1491324
Walker,Alabama,Republican,"10 - 15 %",2841964,1491324
Giles,Tennessee,Democrat,"10 - 15 %",2841964,1491324
Fayette,Illinois,Republican,"10 - 15 %",2841964,1491324
Huron,Ohio,Democrat,"10 - 15 %",2841964,1491324
Treutlen,Georgia,Republican,"10 - 15 %",2841964,1491324
Butler,Alabama,Republican,"10 - 15 %",2841964,1491324
DeKalb,Tennessee,Republican,"10 - 15 %",2841964,1491324
Nolan,Texas,Democrat,"10 - 15 %",2841964,1491324
Hardin,Ohio,Republican,"10 - 15 %",2841964,1491324
Randolph,Illinois,Republican,"10 - 15 %",2841964,1491324
Rusk,Texas,Republican,"10 - 15 %",2841964,1491324
Fannin,Georgia,Republican,"10 - 15 %",2841964,1491324
Marion,Ohio,Democrat,"10 - 15 %",2841964,1491324
Todd,South Dakota,Democrat,"10 - 15 %",2841964,1491324
Malheur,Oregon,Democrat,"10 - 15 %",2841964,1491324
Jasper,Mississippi,Republican,"10 - 15 %",2841964,1491324
Winston,Alabama,Republican,"10 - 15 %",2841964,1491324
Morrow,Ohio,Republican,"10 - 15 %",2841964,1491324
Jenkins,Georgia,Republican,"10 - 15 %",2841964,1491324
Bedford,Tennessee,Democrat,"10 - 15 %",2841964,1491324
Colleton,South Carolina,Republican,"10 - 15 %",2841964,1491324
Union,Louisiana,Democrat,"10 - 15 %",2841964,1491324
Chester,South Carolina,Republican,"10 - 15 %",2841964,1491324
Montgomery,Illinois,Democrat,"10 - 15 %",2841964,1491324
Humphreys,Tennessee,Democrat,"10 - 15 %",2841964,1491324
Putnam,Florida,Democrat,"10 - 15 %",2841964,1491324
Brown,Ohio,Republican,"10 - 15 %",2841964,1491324
Ottawa,Oklahoma,Republican,"10 - 15 %",2841964,1491324
Sussex,Virginia,Republican,"10 - 15 %",2841964,1491324
Sequatchie,Tennessee,Democrat,"10 - 15 %",2841964,1491324
Quitman,Mississippi,Republican,"10 - 15 %",2841964,1491324
Dickenson,Virginia,Republican,"10 - 15 %",2841964,1491324
Clark,Idaho,Democrat,"10 - 15 %",2841964,1491324
Florence,Wisconsin,Democrat,"10 - 15 %",2841964,1491324
Wilkes,North Carolina,Democrat,"10 - 15 %",2841964,1491324
Laurel,Kentucky,Republican,"10 - 15 %",2841964,1491324
Logan,Kentucky,Republican,"10 - 15 %",2841964,1491324
Daviess,Indiana,Democrat,"10 - 15 %",2841964,1491324
Stone,Mississippi,Republican,"10 - 15 %",2841964,1491324
Haralson,Georgia,Democrat,"10 - 15 %",2841964,1491324
St. Bernard,Louisiana,Democrat,"10 - 15 %",2841964,1491324
Ste. Genevieve,Missouri,Democrat,"10 - 15 %",2841964,1491324
Amelia,Virginia,Republican,"10 - 15 %",2841964,1491324
Leon,Texas,Democrat,"10 - 15 %",2841964,1491324
Iron,Missouri,Republican,"10 - 15 %",2841964,1491324
Taylor,Iowa,Republican,"10 - 15 %",2841964,1491324
Arkansas,Arkansas,Democrat,"10 - 15 %",2841964,1491324
Hopkins,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Crittenden,Arkansas,Republican,"10 - 15 %",2841964,1491324
Highlands,Florida,Republican,"10 - 15 %",2841964,1491324
Yuma,Arizona,Democrat,"10 - 15 %",2841964,1491324
Douglas,Missouri,Republican,"10 - 15 %",2841964,1491324
Jackson,Alabama,Democrat,"10 - 15 %",2841964,1491324
Esmeralda,Nevada,Republican,"10 - 15 %",2841964,1491324
Crittenden,Kentucky,Republican,"10 - 15 %",2841964,1491324
Juneau,Wisconsin,Democrat,"10 - 15 %",2841964,1491324
Okfuskee,Oklahoma,Republican,"10 - 15 %",2841964,1491324
Lauderdale,Tennessee,Democrat,"10 - 15 %",2841964,1491324
Polk,Arkansas,Republican,"10 - 15 %",2841964,1491324
Summers,West Virginia,Democrat,"10 - 15 %",2841964,1491324
Lincoln,Oklahoma,Democrat,"10 - 15 %",2841964,1491324
Mason,Kentucky,Democrat,"10 - 15 %",2841964,1491324
St. Joseph,Michigan,Democrat,"10 - 15 %",2841964,1491324
Liberty,Florida,Democrat,"10 - 15 %",2841964,1491324
Shelby,Illinois,Democrat,"10 - 15 %",2841964,1491324
Adams,Indiana,Democrat,"10 - 15 %",2841964,1491324
Lawrence,Tennessee,Republican,"10 - 15 %",2841964,1491324
Gilliam,Oregon,Republican,"10 - 15 %",2841964,1491324
Crane,Texas,Republican,"10 - 15 %",2841964,1491324
Choctaw,Alabama,Democrat,"10 - 15 %",2841964,1491324
Sandusky,Ohio,Republican,"10 - 15 %",2841964,1491324
Mason,Kentucky,Republican,"10 - 15 %",2841964,1491324
Woodruff,Arkansas,Democrat,"10 - 15 %",2841964,1491324
DeSoto,Louisiana,Republican,"10 - 15 %",2841964,1491324
Henderson,Tennessee,Democrat,"10 - 15 %",2841964,1491324
Fulton,New York,Democrat,"10 - 15 %",2841964,1491324
Okfuskee,Oklahoma,Democrat,"10 - 15 %",2841964,1491324
Jasper,South Carolina,Democrat,"10 - 15 %",2841964,1491324
Anson,North Carolina,Democrat,"10 - 15 %",2841964,1491324
Ritchie,West Virginia,Republican,"10 - 15 %",2841964,1491324
Lowndes,Alabama,Democrat,"10 - 15 %",2841964,1491324
Adair,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Bacon,Georgia,Democrat,"10 - 15 %",2841964,1491324
McDowell,North Carolina,Democrat,"10 - 15 %",2841964,1491324
Madison,Arkansas,Democrat,"10 - 15 %",2841964,1491324
Nevada,Arkansas,Democrat,"10 - 15 %",2841964,1491324
Reagan,Texas,Republican,"10 - 15 %",2841964,1491324
Bertie,North Carolina,Democrat,"10 - 15 %",2841964,1491324
Lander,Nevada,Republican,"10 - 15 %",2841964,1491324
Wetzel,West Virginia,Republican,"10 - 15 %",2841964,1491324
Lewis,Kentucky,Republican,"10 - 15 %",2841964,1491324
Franklin,Florida,Republican,"10 - 15 %",2841964,1491324
Yuba,California,Democrat,"10 - 15 %",2841964,1491324
Mississippi,Arkansas,Democrat,"10 - 15 %",2841964,1491324
Spalding,Georgia,Republican,"10 - 15 %",2841964,1491324
Perry,Arkansas,Democrat,"10 - 15 %",2841964,1491324
Grenada,Mississippi,Republican,"10 - 15 %",2841964,1491324
Lewis,Washington,Republican,"10 - 15 %",2841964,1491324
Pike,Missouri,Democrat,"10 - 15 %",2841964,1491324
Crockett,Tennessee,Democrat,"10 - 15 %",2841964,1491324
Ross,Ohio,Democrat,"10 - 15 %",2841964,1491324
Lassen,California,Republican,"10 - 15 %",2841964,1491324
Decatur,Indiana,Democrat,"10 - 15 %",2841964,1491324
Taylor,Wisconsin,Republican,"10 - 15 %",2841964,1491324
Calhoun,Illinois,Republican,"10 - 15 %",2841964,1491324
Preston,West Virginia,Democrat,"10 - 15 %",2841964,1491324
Bleckley,Georgia,Democrat,"10 - 15 %",2841964,1491324
Shelby,Illinois,Republican,"10 - 15 %",2841964,1491324
Rains,Texas,Democrat,"10 - 15 %",2841964,1491324
Randolph,Arkansas,Democrat,"10 - 15 %",2841964,1491324
Floyd,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Pendleton,West Virginia,Republican,"10 - 15 %",2841964,1491324
Refugio,Texas,Republican,"10 - 15 %",2841964,1491324
Grant,Louisiana,Democrat,"10 - 15 %",2841964,1491324
Roosevelt,Montana,Republican,"10 - 15 %",2841964,1491324
Knox,Missouri,Republican,"10 - 15 %",2841964,1491324
Marshall,Mississippi,Democrat,"10 - 15 %",2841964,1491324
Obion,Tennessee,Democrat,"10 - 15 %",2841964,1491324
Jefferson,Tennessee,Democrat,"10 - 15 %",2841964,1491324
Twiggs,Georgia,Republican,"10 - 15 %",2841964,1491324
Iroquois,Illinois,Republican,"10 - 15 %",2841964,1491324
Winn,Louisiana,Republican,"10 - 15 %",2841964,1491324
Karnes,Texas,Republican,"10 - 15 %",2841964,1491324
Covington,Alabama,Republican,"10 - 15 %",2841964,1491324
Saluda,South Carolina,Democrat,"10 - 15 %",2841964,1491324
Runnels,Texas,Republican,"10 - 15 %",2841964,1491324
Pike,Illinois,Republican,"10 - 15 %",2841964,1491324
St. Helena,Louisiana,Republican,"10 - 15 %",2841964,1491324
Chickasaw,Iowa,Democrat,"10 - 15 %",2841964,1491324
Moultrie,Illinois,Democrat,"10 - 15 %",2841964,1491324
Union,Mississippi,Democrat,"10 - 15 %",2841964,1491324
Irwin,Georgia,Democrat,"10 - 15 %",2841964,1491324
Crittenden,Kentucky,Democrat,"10 - 15 %",2841964,1491324
DeSoto,Florida,Democrat,"10 - 15 %",2841964,1491324
Crawford,Ohio,Republican,"10 - 15 %",2841964,1491324
Lowndes,Alabama,Republican,"10 - 15 %",2841964,1491324
Live Oak,Texas,Democrat,"10 - 15 %",2841964,1491324
Audrain,Missouri,Republican,"10 - 15 %",2841964,1491324
Pendleton,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Bland,Virginia,Republican,"10 - 15 %",2841964,1491324
Paulding,Ohio,Democrat,"10 - 15 %",2841964,1491324
Simpson,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Starke,Indiana,Republican,"10 - 15 %",2841964,1491324
Prowers,Colorado,Democrat,"10 - 15 %",2841964,1491324
Gadsden,Florida,Republican,"10 - 15 %",2841964,1491324
Hempstead,Arkansas,Republican,"10 - 15 %",2841964,1491324
Henry,Missouri,Democrat,"10 - 15 %",2841964,1491324
Lewis,New York,Democrat,"10 - 15 %",2841964,1491324
Berrien,Georgia,Democrat,"10 - 15 %",2841964,1491324
Huron,Michigan,Democrat,"10 - 15 %",2841964,1491324
Greene,Illinois,Democrat,"10 - 15 %",2841964,1491324
Pushmataha,Oklahoma,Republican,"10 - 15 %",2841964,1491324
Sullivan,Pennsylvania,Republican,"10 - 15 %",2841964,1491324
Evangeline,Louisiana,Democrat,"10 - 15 %",2841964,1491324
Randolph,Missouri,Republican,"10 - 15 %",2841964,1491324
Meade,Kentucky,Republican,"10 - 15 %",2841964,1491324
Freestone,Texas,Republican,"10 - 15 %",2841964,1491324
Barbour,West Virginia,Democrat,"10 - 15 %",2841964,1491324
Dent,Missouri,Republican,"10 - 15 %",2841964,1491324
Fentress,Tennessee,Democrat,"10 - 15 %",2841964,1491324
Wayne,Illinois,Republican,"10 - 15 %",2841964,1491324
Essex,Virginia,Democrat,"10 - 15 %",2841964,1491324
White Pine,Nevada,Democrat,"10 - 15 %",2841964,1491324
Carroll,Virginia,Democrat,"10 - 15 %",2841964,1491324
Northumberland,Pennsylvania,Democrat,"10 - 15 %",2841964,1491324
Allen,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Montgomery,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Ashley,Arkansas,Republican,"10 - 15 %",2841964,1491324
Giles,Tennessee,Republican,"10 - 15 %",2841964,1491324
Lawrence,Mississippi,Republican,"10 - 15 %",2841964,1491324
Polk,Georgia,Republican,"10 - 15 %",2841964,1491324
Pershing,Nevada,Democrat,"10 - 15 %",2841964,1491324
Arenac,Michigan,Democrat,"10 - 15 %",2841964,1491324
Seminole,Oklahoma,Democrat,"10 - 15 %",2841964,1491324
Alcona,Michigan,Democrat,"10 - 15 %",2841964,1491324
Toole,Montana,Democrat,"10 - 15 %",2841964,1491324
Juniata,Pennsylvania,Democrat,"10 - 15 %",2841964,1491324
Hutchinson,Texas,Democrat,"10 - 15 %",2841964,1491324
Anderson,Texas,Democrat,"10 - 15 %",2841964,1491324
Noxubee,Mississippi,Democrat,"10 - 15 %",2841964,1491324
Vermilion,Illinois,Democrat,"10 - 15 %",2841964,1491324
Montgomery,Arkansas,Republican,"10 - 15 %",2841964,1491324
Wayne,Georgia,Republican,"10 - 15 %",2841964,1491324
Knox,Indiana,Democrat,"10 - 15 %",2841964,1491324
Lawrence,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Charles City,Virginia,Republican,"10 - 15 %",2841964,1491324
Tuscola,Michigan,Democrat,"10 - 15 %",2841964,1491324
Amelia,Virginia,Democrat,"10 - 15 %",2841964,1491324
Nottoway,Virginia,Democrat,"10 - 15 %",2841964,1491324
Rusk,Wisconsin,Republican,"10 - 15 %",2841964,1491324
Perry,Indiana,Democrat,"10 - 15 %",2841964,1491324
Simpson,Mississippi,Republican,"10 - 15 %",2841964,1491324
Hughes,Oklahoma,Republican,"10 - 15 %",2841964,1491324
Doddridge,West Virginia,Republican,"10 - 15 %",2841964,1491324
Hardin,Tennessee,Republican,"10 - 15 %",2841964,1491324
Scotland,North Carolina,Democrat,"10 - 15 %",2841964,1491324
Leon,Texas,Republican,"10 - 15 %",2841964,1491324
Lamb,Texas,Republican,"10 - 15 %",2841964,1491324
Cotton,Oklahoma,Democrat,"10 - 15 %",2841964,1491324
Claiborne,Louisiana,Republican,"10 - 15 %",2841964,1491324
Navajo,Arizona,Democrat,"10 - 15 %",2841964,1491324
Waushara,Wisconsin,Democrat,"10 - 15 %",2841964,1491324
Screven,Georgia,Republican,"10 - 15 %",2841964,1491324
Clinton,Indiana,Democrat,"10 - 15 %",2841964,1491324
Luna,New Mexico,Democrat,"10 - 15 %",2841964,1491324
Alcona,Michigan,Republican,"10 - 15 %",2841964,1491324
Barren,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Bedford,Pennsylvania,Republican,"10 - 15 %",2841964,1491324
Bath,Kentucky,Democrat,"10 - 15 %",2841964,1491324
Allen,Louisiana,Republican,"10 - 15 %",2841964,1491324
Montgomery,Illinois,Republican,"10 - 15 %",2841964,1491324
Butler,Alabama,Democrat,"10 - 15 %",2841964,1491324
Hutchinson,Texas,Republican,"10 - 15 %",2841964,1491324
Grundy,Tennessee,Democrat,"10 - 15 %",2841964,1491324
Reagan,Texas,Democrat,"10 - 15 %",2841964,1491324
Sanilac,Michigan,Democrat,"10 - 15 %",2841964,1491324
Tensas,Louisiana,Democrat,"10 - 15 %",2841964,1491324
Milam,Texas,Democrat,"10 - 15 %",2841964,1491324
Montgomery,Missouri,Democrat,"10 - 15 %",2841964,1491324
Garfield,Nebraska,Democrat,"10 - 15 %",2841964,1491324
Emery,Utah,Republican,"10 - 15 %",2841964,1491324
Simpson,Mississippi,Democrat,"10 - 15 %",2841964,1491324
Perry,Illinois,Democrat,"10 - 15 %",2841964,1491324
Stephens,Georgia,Republican,"10 - 15 %",2841964,1491324
Bienville,Louisiana,Democrat,"10 - 15 %",2841964,1491324
Wilcox,Alabama,Democrat,"10 - 15 %",2841964,1491324
St. Mary,Louisiana,Democrat,"10 - 15 %",2841964,1491324
Nuckolls,Nebraska,Republican,"10 - 15 %",2841964,1491324
Lenoir,North Carolina,Republican,"10 - 15 %",2841964,1491324
Henry,Ohio,Republican,"10 - 15 %",2841964,1491324
Unicoi,Tennessee,Democrat,"10 - 15 %",2841964,1491324
Monroe,Tennessee,Republican,"10 - 15 %",2841964,1491324
Marshall,West Virginia,Democrat,"10 - 15 %",2841964,1491324
White,Illinois,Democrat,"10 - 15 %",2841964,1491324
Marion,Kentucky,Republican,"10 - 15 %",2841964,1491324
Sequoyah,Oklahoma,Republican,"10 - 15 %",2841964,1491324
Wright,Missouri,Democrat,"10 - 15 %",2841964,1491324
Desha,Arkansas,Republican,"10 - 15 %",2841964,1491324
St. John the Baptist,Louisiana,Republican,"10 - 15 %",2841964,1491324
Franklin,Florida,Democrat,"10 - 15 %",2841964,1491324
Upson,Georgia,Republican,"10 - 15 %",2841964,1491324
Crockett,Tennessee,Republican,"10 - 15 %",2841964,1491324
Franklin,Mississippi,Democrat,"10 - 15 %",2841964,1491324
McIntosh,Oklahoma,Republican,"10 - 15 %",2841964,1491324
Taylor,Georgia,Republican,"10 - 15 %",2841964,1491324
Washington,North Carolina,Democrat,"10 - 15 %",2841964,1491324
Harrison,Indiana,Republican,"10 - 15 %",2841964,1491324
Dooly,Georgia,Republican,"10 - 15 %",2841964,1491324
Juab,Utah,Republican,"10 - 15 %",2841964,1491324
Hall,Texas,Republican,"10 - 15 %",2841964,1491324
Lafayette,Arkansas,Democrat,"10 - 15 %",2841964,1491324
Uvalde,Texas,Republican,"10 - 15 %",2841964,1491324
Milam,Texas,Republican,"10 - 15 %",2841964,1491324
Grimes,Texas,Democrat,"10 - 15 %",2841964,1491324
Madera,California,Republican,"10 - 15 %",2841964,1491324
Grayson,Virginia,Democrat,"10 - 15 %",2841964,1491324
Maverick,Texas,Democrat,"10 - 15 %",2841964,1491324
Ogemaw,Michigan,Democrat,"10 - 15 %",2841964,1491324
Martin,North Carolina,Democrat,"10 - 15 %",2841964,1491324
Pontotoc,Mississippi,Democrat,"10 - 15 %",2841964,1491324
Bailey,Texas,Democrat,"10 - 15 %",2841964,1491324
Pike,Ohio,Republican,"10 - 15 %",2841964,1491324
Sharp,Arkansas,Democrat,"10 - 15 %",2841964,1491324
Buckingham,Virginia,Democrat,"10 - 15 %",2841964,1491324
Mercer,Missouri,Republican,"10 - 15 %",2841964,1491324
Huron,Michigan,Republican,"10 - 15 %",2841964,1491324
Knox,Missouri,Democrat,"10 - 15 %",2841964,1491324
Perry,Tennessee,Republican,"10 - 15 %",2841964,1491324
Ozark,Missouri,Democrat,"10 - 15 %",2841964,1491324
Lincoln,Missouri,Democrat,"10 - 15 %",2841964,1491324
Carbon,Utah,Democrat,"10 - 15 %",2841964,1491324
DeKalb,Tennessee,Democrat,"10 - 15 %",2841964,1491324
Decatur,Georgia,Democrat,"10 - 15 %",2841964,1491324
Patrick,Virginia,Democrat,"10 - 15 %",2841964,1491324
LaSalle,Louisiana,Republican,"10 - 15 %",2841964,1491324
Izard,Arkansas,Democrat,"10 - 15 %",2841964,1491324
Lucas,Iowa,Democrat,"10 - 15 %",2841964,1491324
Pawnee,Nebraska,Democrat,"10 - 15 %",2841964,1491324
Bibb,Alabama,Republican,"10 - 15 %",2841964,1491324
Huntingdon,Pennsylvania,Republican,"10 - 15 %",2841964,1491324
Livingston,Illinois,Democrat,"10 - 15 %",2841964,1491324
Christian,Illinois,Republican,"10 - 15 %",2841964,1491324
Winn,Louisiana,Democrat,"10 - 15 %",2841964,1491324
Itawamba,Mississippi,Republican,"10 - 15 %",2841964,1491324
Louisa,Iowa,Republican,"10 - 15 %",2841964,1491324
Lincoln,Missouri,Republican,"10 - 15 %",2841964,1491324
Coal,Oklahoma,Democrat,"10 - 15 %",2841964,1491324
Williamsburg,South Carolina,Republican,"10 - 15 %",2841964,1491324
Graham,North Carolina,Republican,"10 - 15 %",2841964,1491324
Haywood,Tennessee,Republican,"10 - 15 %",2841964,1491324
Montgomery,Kentucky,Republican,"10 - 15 %",2841964,1491324
Pecos,Texas,Democrat,"10 - 15 %",2841964,1491324
St. James,Louisiana,Democrat,"10 - 15 %",2841964,1491324
Atascosa,Texas,Republican,"10 - 15 %",2841964,1491324
Robertson,Kentucky,Republican,"10 - 15 %",2841964,1491324
Nance,Nebraska,Democrat,"10 - 15 %",2841964,1491324
Lunenburg,Virginia,Democrat,"10 - 15 %",2841964,1491324
Nowata,Oklahoma,Republican,"10 - 15 %",2841964,1491324
Menominee,Michigan,Democrat,"10 - 15 %",2841964,1491324
Ozark,Missouri,Republican,"10 - 15 %",2841964,1491324
Pierce,Georgia,Democrat,"10 - 15 %",2841964,1491324
Wharton,Texas,Democrat,"10 - 15 %",2841964,1491324
Marion,Arkansas,Democrat,"10 - 15 %",2841964,1491324
Greene,Alabama,Democrat,"10 - 15 %",2841964,1491324
Jackson,Florida,Republican,"10 - 15 %",2841964,1491324
Cibola,New Mexico,Republican,"10 - 15 %",2841964,1491324
St. Landry,Louisiana,Republican,"10 - 15 %",2841964,1491324
Walker,Alabama,Democrat,"10 - 15 %",2841964,1491324
Wayne,Missouri,Democrat,"10 - 15 %",2841964,1491324
Crosby,Texas,Republican,"10 - 15 %",2841964,1491324
Cherokee,South Carolina,Democrat,"10 - 15 %",2841964,1491324
San Saba,Texas,Democrat,"10 - 15 %",2841964,1491324
Ziebach,South Dakota,Democrat,"10 - 15 %",2841964,1491324
Miller,Georgia,Republican,"10 - 15 %",2841964,1491324
Preble,Ohio,Democrat,"10 - 15 %",2841964,1491324
Seminole,Georgia,Democrat,"10 - 15 %",2841964,1491324
Smith,Tennessee,Republican,"10 - 15 %",2841964,1491324
Wilkes,North Carolina,Republican,"10 - 15 %",2841964,1491324
Marinette,Wisconsin,Democrat,"10 - 15 %",2841964,1491324
Mineral,Nevada,Democrat,"10 - 15 %",2841964,1491324
Cannon,Tennessee,Republican,"10 - 15 %",2841964,1491324
Gulf,Florida,Democrat,"10 - 15 %",2841964,1491324
Williams,Ohio,Democrat,"10 - 15 %",2841964,1491324
Scott,Missouri,Republican,"10 - 15 %",2841964,1491324
Calhoun,Illinois,Democrat,"10 - 15 %",2841964,1491324
Pulaski,Indiana,Democrat,"10 - 15 %",2841964,1491324
Jim Wells,Texas,Democrat,"10 - 15 %",2841964,1491324
Leake,Mississippi,Democrat,"10 - 15 %",2841964,1491324
Keokuk,Iowa,Republican,"10 - 15 %",2841964,1491324
Mercer,Illinois,Democrat,"10 - 15 %",2841964,1491324
Panola,Texas,Republican,"10 - 15 %",2841964,1491324
Chicot,Arkansas,Republican,"10 - 15 %",2841964,1491324
Upton,Texas,Democrat,"10 - 15 %",2841964,1491324
Potter,Pennsylvania,Republican,"10 - 15 %",2841964,1491324
Clinton,Ohio,Republican,"10 - 15 %",2841964,1491324
Barren,Kentucky,Republican,"10 - 15 %",2841964,1491324
Pawnee,Nebraska,Republican,"10 - 15 %",2841964,1491324
Stokes,North Carolina,Republican,"10 - 15 %",2841964,1491324
Union,Kentucky,Republican,"10 - 15 %",2841964,1491324
Hancock,Kentucky,Republican,"10 - 15 %",2841964,1491324
Bollinger,Missouri,Democrat,"10 - 15 %",2841964,1491324
Clarke,Iowa,Republican,"10 - 15 %",2841964,1491324
Sullivan,Indiana,Democrat,"10 - 15 %",2841964,1491324
Hale,Alabama,Democrat,"10 - 15 %",2841964,1491324
Cass,Texas,Democrat,"10 - 15 %",2841964,1491324
Louisa,Iowa,Democrat,"10 - 15 %",2841964,1491324
Phillips,Arkansas,Republican,"10 - 15 %",2841964,1491324
Washington,Georgia,Republican,"10 - 15 %",2841964,1491324
Gates,North Carolina,Republican,"10 - 15 %",2841964,1491324
George,Mississippi,Republican,"10 - 15 %",2841964,1491324
Putnam,Florida,Republican,"10 - 15 %",2841964,1491324
Vernon,Missouri,Republican,"10 - 15 %",2841964,1491324
Nance,Nebraska,Republican,"10 - 15 %",2841964,1491324
Christian,Illinois,Democrat,"10 - 15 %",2841964,1491324
Guadalupe,New Mexico,Republican,"10 - 15 %",2841964,1491324
Hall,Texas,Democrat,"10 - 15 %",2841964,1491324
Jerome,Idaho,Republican,"10 - 15 %",2841964,1491324
Hale,Alabama,Republican,"10 - 15 %",2841964,1491324
Hampton,South Carolina,Republican,"10 - 15 %",2841964,1491324
Decatur,Tennessee,Republican,"10 - 15 %",2841964,1491324
Brooks,Georgia,Democrat,"10 - 15 %",2841964,1491324
Tensas,Louisiana,Republican,"10 - 15 %",2841964,1491324
Kings,California,Republican,"10 - 15 %",2841964,1491324
Paulding,Ohio,Republican,"10 - 15 %",2841964,1491324
Osceola,Michigan,Democrat,"10 - 15 %",2841964,1491324
Missaukee,Michigan,Republican,"10 - 15 %",2841964,1491324
Jenkins,Georgia,Democrat,"10 - 15 %",2841964,1491324
